CG_name	Gene	Chromosome	Site
CG17932	Ugt37D1	2L	36B1-36B1
CG17934	Mst84Db	3R	84D5-84D5
CG17935	Mst84Dd	3R	84D5-84D5
CG1794	Mmp2	2R	45F6-46A1
CG17941	ds	2L	21E2-21E2
CG17943	comm	3L	71F2-71F2
CG17944	CG17944	3R	84D5-84D5
CG17945	Mst84Dc	3R	84D5-84D5
CG17946	Mst84Da	3R	84D5-84D5
CG17947	alpha-Cat	3L	80F1-80F2
CG17949	His2B:CG17949	2L	39D3-39D3
CG1795	Ogg1	X	8A2-8A2
CG17950	HmgD	2R	57F10-57F10
CG17952	LBR	2R	57F10-57F11
CG17956	Mst87F	3R	87F14-87F14
CG17957	Sry-alpha	3R	99D3-99D3
CG17958	Sry-delta	3R	99D3-99D3
CG17959	CG17959	X	3C3-3C3
CG1796	Tango4	X	11A1-11A1
CG17962	Z600	3L	71D3-71D3
CG17970	Cyp4ac2	2L	25D2-25D2
CG17974	CG17974	2R	57D12-57D12
CG17975	sut2	2R	44A4-44A4
CG17976	sut3	2R	44A4-44A4
CG17977	CG17977	2R	44A4-44A4
CG17982	CG17982	X	7D15-7D15
CG17985	CG17985	2R	43E7-43E7
CG17988	Ance-3	2L	34E3-34E5
CG1799	ras	X	9E1-9E2
CG17991	CG17991	3R	97E10-97E10
CG17994	CG17994	2R	42A13-42A13
CG17996	CG17996	2L	36A12-36A12
CG17998	Gprk2	3R	100C3-100C4
CG17999	CG17999	2R	57B3-57B3
CG1800	pasha	3R	100D1-100D1
CG18000	sw	X	19C1-19C1
CG18001	RpL38	2R	""
CG18003	Hao	2R	47C5-47C5
CG18004	CG18004	2R	47C5-47C5
CG18005	beag	3R	85C4-85C4
CG18009	Trf2	X	7E7-7E9
CG1801	CG1801	X	19F3-19F4
CG18011	CG18011	2R	46F2-46F3
CG18012	Alg1	3R	90C6-90C6
CG18013	Psf2	2L	24E4-24E4
CG18023	Eip78C	3L	78C2-78C3
CG18024	SoxN	2L	29F2-29F2
CG18028	lt	2L	""
CG1803	regucalcin	X	11A1-11A1
CG18030	Jon99Fi	3R	99F6-99F6
CG18031	FarO	X	2E2-2E2
CG18039	GluRIID	3R	92F4-92F4
CG1804	kek6	3R	100D1-100D1
CG18041	dgt1	3R	99C4-99C4
CG18048	CG18048	3R	83E4-83E4
CG1806	CG1806	X	11A1-11A1
CG18063	CG18063	2L	35D7-35D7
CG18064	Met75Cb	3L	75C7-75C7
CG18065	BORCS7	2R	57A5-57A5
CG18066	Cpr57A	2R	57A5-57A5
CG18067	Bbd	2R	57A5-57A5
CG18069	CaMKII	4	102D1-102D3
CG18076	shot	2R	50C6-50C9
CG18081	CG18081	3L	72A2-72A2
CG18085	sev	X	10A4-10A4
CG18087	Sgs7	3L	68C11-68C11
CG18088	CG18088	2L	29F6-29F6
CG1809	Alp6	2R	45F1-45F1
CG18090	Dsk	3R	81F6-81F6
CG18094	CG18094	2L	37E4-37E4
CG18095	CG18095	2L	34F1-34F2
CG18096	Tep1	2L	35D6-35D6
CG1810	mRNA-cap	X	12E5-12E5
CG18102	shi	X	13F18-13F18
CG18104	arg	X	1B7-1B8
CG18105	ETH	2R	60E1-60E1
CG18106	BomS2	2R	55C4-55C4
CG18107	BomS4	2R	55C4-55C4
CG18108	BomS1	2R	55C4-55C4
CG18109	t-Grip91	2L	35D4-35D4
CG18110	ppk30	3R	99B7-99B7
CG18111	Obp99a	3R	99B7-99B7
CG18112	Vps16B	3R	99C2-99C2
CG1812	CG1812	X	19D2-19D2
CG18124	mTTF	2L	35A4-35A4
CG18125	Send2	2L	35A4-35A4
CG18128	CG18128	2R	59F6-59F6
CG18130	CG18130	X	11A1-11A1
CG18131	CG18131	2L	22A2-22A2
CG18132	CG18132	2L	22A2-22A2
CG18135	CG18135	3L	75F2-75F2
CG18136	SmydA-2	3L	75F2-75F2
CG1814	Nt5c	2R	45F4-45F4
CG18140	Cht10	2L	-
CG18143	DhpD	3R	82A1-82A1
CG18144	Hand	2L	31C6-31C7
CG18145	Ripalpha	2L	31B1-31B1
CG18146	NimC2	2L	34E5-34E5
CG1815	CG1815	3R	100D1-100D1
CG18155	Acsf3	X	7B1-7B1
CG18156	Mis12	3L	65D5-65D5
CG18157	betaNACtes2	X	12E8-12E8
CG1817	Ptp10D	X	10D1-10D4
CG18170	CG18170	3L	62A7-62A8
CG18171	CG18171	3L	62B1-62B1
CG18173	PIG-Wb	3L	62B1-62B1
CG18174	Rpn11	2L	25C3-25C3
CG18176	defl	3L	67C5-67C5
CG18177	Naa60	3L	67C5-67C5
CG18178	CG18178	3L	67C5-67C5
CG18179	CG18179	3L	67C3-67C3
CG1818	Urod	2R	45F5-45F5
CG18180	CG18180	3L	67C3-67C3
CG18186	Oxp	2R	54D2-54D2
CG18188	Damm	2R	48C5-48C5
CG18190	CG18190	2R	55F7-55F7
CG18193	COX7AL	3R	84F13-84F13
CG18208	Octalpha2R	3R	91D1-91D2
CG1821	RpL31	2R	45F5-45F5
CG18211	betaTry	2R	47F4-47F4
CG18212	alt	3R	90C1-90C1
CG18213	CG18213	3R	89E10-89E10
CG18214	trio	3L	61E1-61E2
CG1822	bif	X	10D4-10D5
CG18223	CG18223	3L	75E6-75E6
CG18231	CG18231	3L	75D4-75D4
CG18233	CG18233	3L	75D3-75D4
CG18234	CG18234	3L	75D3-75D3
CG1824	CG1824	X	11B2-11B2
CG18241	Toll-4	2L	30A1-30A1
CG18243	Ptp52F	2R	52F3-52F3
CG18247	Shark	2R	52F8-52F8
CG18249	CG18249	3R	84F4-84F4
CG1825	Map60	2R	45F5-45F6
CG18250	Dg	2R	52E2-52E4
CG18258	CG18258	X	15F3-15F4
CG18259	CG18259	X	17D5-17D5
CG1826	BTBD9	X	9E7-9E8
CG18262	CG18262	X	7D16-7D16
CG18265	CG18265	3L	74C2-74C2
CG18266	CG18266	2L	25F1-25F1
CG18268	CG18268	3R	84E1-84E1
CG18269	CG18269	2L	25E6-25E6
CG1827	CG1827	2R	45F5-45F5
CG18271	slx1	3R	82C5-82C5
CG18273	CG18273	X	1B4-1B5
CG18278	CG18278	2R	50A5-50A5
CG18279	BaraA2	2R	50A5-50A5
CG1828	dre4	3L	62B7-62B7
CG18281	CG18281	3L	77C6-77C6
CG18284	CG18284	2L	32A2-32A2
CG18285	igl	2R	51E3-51E5
CG18287	ppk19	3R	99B7-99B7
CG1829	Cyp6v1	X	19E1-19E1
CG18290	Act87E	3R	87E11-87E11
CG18292	CDK2AP1	X	10A6-10A7
CG18294	CG18294	3L	76B3-76B3
CG1830	PhKgamma	X	10D5-10D5
CG18301	CG18301	2L	31F5-31F5
CG18302	CG18302	2L	31F5-31F5
CG18304	CG18304	2L	27C4-27C6
CG18313	betaNACtes4	X	12E9-12E9
CG18314	DopEcR	3L	64B2-64B3
CG18315	Aprt	3L	62B9-62B9
CG18316	udd	2R	44A4-44A4
CG18317	Rim2	2L	22B1-22B1
CG18319	ben	X	12D2-12D2
CG1832	Clamp	2L	40F2-40F2
CG18321	miple2	3L	61B3-61B3
CG18324	CG18324	2R	50E1-50E1
CG18327	CG18327	2R	50E1-50E1
CG18330	Pcyt2	3L	62A5-62A5
CG18331	Muc68Ca	3L	68C15-68C15
CG18332	CSN3	3L	77F1-77F1
CG18335	CG18335	2R	47F1-47F1
CG18336	CG18336	2R	47F1-47F1
CG18340	Ucp4B	2L	26A5-26A5
CG18341	Prosbeta2R1	X	5C2-5C2
CG18343	CG18343	2R	48E2-48E2
CG18345	trpl	2R	46B2-46B2
CG18347	GC1	3R	87A3-87A4
CG18348	Cpr67Fb	3L	67F1-67F1
CG18349	Cpr67Fa2	3L	67F1-67F1
CG1835	CG1835	X	19E1-19E1
CG1836	Rad23	4	102B3-102B3
CG18361	dsh	X	10B4-10B5
CG18362	Mondo	2L	39C1-39C2
CG18363	Dic4	3L	75D6-75D6
CG18367	CG18367	2R	56E1-56E1
CG18368	CG18368	2R	50C1-50C1
CG18369	S-Lap5	2R	50B4-50B5
CG1837	prtp	X	10D7-10D8
CG18371	CG18371	2R	50D2-50D2
CG18372	AttB	2R	51C1-51C1
CG18374	Gk1	3L	61B2-61B2
CG18375	ASPP	2R	57D2-57D4
CG18377	Cyp49a1	2R	47A7-47A9
CG1838	myo	4	102C2-102C2
CG18389	Eip93F	3R	93F14-93F14
CG1839	Fbxl4	X	12E5-12E5
CG18396	Mst98Cb	3R	98C3-98C3
CG18397	ssp3	2L	37B5-37B6
CG18398	Tango6	2L	37B7-37B8
CG1840	CG1840	X	10F4-10F4
CG18402	InR	3R	93E4-93E4
CG18404	CG18404	3R	99E3-99E3
CG18405	Sema1a	2L	29E1-29E3
CG18408	CAP	2R	46F9-47A1
CG1841	Tango10	X	10D8-10D8
CG18410	Ude	3R	96A22-96A22
CG18412	ph-p	X	2D2-2D3
CG18417	CG18417	3L	65F11-65F11
CG18418	CG18418	3L	64B13-64B13
CG1842	Dhc98D	3R	98D2-98D3
CG18420	CG18420	2L	35B6-35B6
CG18426	ytr	2R	60A3-60A3
CG18428	CG18428	3R	95E1-95E1
CG18437	unc80	3R	98A15-98B1
CG1844	SelG	X	10F4-10F4
CG18444	alphaTry	2R	47F4-47F4
CG18445	oys	2R	46D7-46D8
CG18446	Lime	2R	46C1-46C1
CG18449	CG18449	2R	44C4-44C4
CG1845	Br140	2R	43A2-43A2
CG18455	Optix	2R	44A3-44A3
CG18466	Nmdmc	3R	85C3-85C3
CG18467	CG18467	2R	54B14-54B15
CG18468	Lhr	2R	54B7-54B7
CG18469	CG18469	2R	54B1-54B1
CG1847	CG1847	X	10F2-10F2
CG18471	gprs	2R	53C13-53C14
CG18472	Spag1	3R	97D9-97D10
CG18473	CG18473	3R	85D11-85D12
CG18476	CG18476	3R	86E15-86E15
CG18477	CG18477	2L	35D3-35D3
CG18478	CG18478	2L	35D3-35D3
CG1848	LIMK1	X	11B2-11B2
CG18480	CG18480	2L	35D3-35D3
CG1849	run	X	19E2-19E2
CG18492	Tak1	X	19D2-19D2
CG18493	CG18493	3R	92A3-92A3
CG18495	Prosalpha1	2R	43E18-43E18
CG18497	spen	2L	21B3-21B4
CG1850	CG1850	2R	43A2-43A2
CG18505	Acyp2	3R	89A5-89A5
CG18507	CG18507	2L	34C6-34C6
CG18508	CG18508	X	3C9-3C9
CG1851	Adk3	2R	43A1-43A2
CG18516	AOX4	3R	88F7-88F8
CG18518	CG18518	2L	35D4-35D4
CG18519	AOX2	3R	88F7-88F7
CG18522	AOX1	3R	88F7-88F7
CG18525	Spn88Ea	3R	88E3-88E3
CG18528	CG18528	3R	95F15-95F15
CG18530	CG18530	3R	87C3-87C3
CG18531	Gr2a	X	2A3-2A4
CG18536	CG18536	2R	55C2-55C2
CG18537	CG18537	2R	55C2-55C2
CG18538	CG18538	2R	55C2-55C2
CG18539	CG18539	2R	55C2-55C2
CG1854	Or43a	2R	43A1-43A1
CG18540	CG18540	2R	55C2-55C2
CG18542	CG18542	3R	85E4-85E4
CG18543	mtrm	3L	66C11-66C11
CG18545	CG18545	3R	86B1-86B1
CG18547	CG18547	3R	87A4-87A4
CG18548	GstD10	3R	87B8-87B8
CG18549	CG18549	3R	87B11-87B11
CG18550	yellow-f	3R	87D7-87D7
CG18557	CG18557	2L	23B4-23B4
CG18558	CG18558	2L	23B4-23B4
CG18559	Cyp309a2	2L	23A1-23A1
CG1856	ttk	3R	100D1-100D1
CG18563	CG18563	2L	36C9-36C9
CG18568	CG18568	2R	50C21-50C22
CG1857	nec	2R	42F3-42F3
CG18572	r	X	14F5-15A1
CG18577	CG18577	3R	86D7-86D7
CG18578	Ugt302C1	3R	86D5-86D5
CG18581	CG18581	3L	71B2-71B2
CG18582	mbt	X	14F2-14F2
CG18585	CG18585	2L	28C1-28C1
CG18586	CG18586	3L	64F3-64F3
CG1859	Spn43Ad	2R	42F3-42F3
CG18591	SmE	2L	28D2-28D2
CG18593	viaf	3L	68F1-68F1
CG18594	Pebp1	3R	94A16-94A16
CG18596	CG18596	3R	94A6-94A6
CG18598	CG18598	3R	90F10-90F10
CG18599	CG18599	3R	90F11-91A1
CG18600	Polr1E	3R	91A2-91A2
CG18605	CG18605	2R	56A2-56A2
CG18606	AANATL6	2R	56C8-56C8
CG18607	AANATL4	2R	56C8-56C8
CG18608	prod	2R	56A2-56A2
CG18609	CG18609	2R	55E11-55E11
CG18616	Not10	3R	87C3-87C3
CG18617	Vha100-2	3R	91A5-91A5
CG18619	REPTOR-BP	2L	31B1-31B1
CG1862	Ephrin	4	102C2-102C2
CG18622	CG18622	3R	89E5-89E6
CG18624	ND-MNLL	X	7C2-7C2
CG18627	RabGGTb	2L	23C1-23C1
CG18628	CG18628	3L	67E5-67E5
CG18635	CG18635	2R	54E8-54E8
CG18636	CG18636	2L	35B5-35B5
CG1864	Hr38	2L	38D5-38E3
CG18641	CG18641	2L	22E1-22E1
CG18642	Bem46	2L	23C4-23C4
CG18643	Dtd	3R	86E5-86E5
CG18647	bin	3L	65D6-65D6
CG18649	CG18649	3L	71B2-71B2
CG1865	Spn43Ab	2R	42F3-42F3
CG18657	NetA	X	12F1-12F2
CG18659	CG18659	2R	45A9-45A10
CG1866	Moca-cyp	3R	98C4-98C4
CG18660	Nckx30C	2L	30C6-30C7
CG18661	CG18661	2L	29F7-29F7
CG18662	CG18662	2L	29F6-29F6
CG18666	CG18666	2L	32D1-32D1
CG1867	Or98b	3R	98C4-98C4
CG18672	CAH16	3R	100B9-100B9
CG18673	CAH5	3R	100B9-100B9
CG18675	CG18675	3L	64A9-64A10
CG18676	Teh3	3L	64A10-64A10
CG1868	Smyd4-1	2R	45F4-45F5
CG18681	epsilonTry	2R	47F4-47F4
CG1869	Cht7	3L	63B1-63B1
CG1871	e(r)	X	8B7-8B7
CG18729	Zwilch	3R	100B6-100B6
CG1873	eEF1alpha2	3R	100D2-100D2
CG18730	Amy-p	2R	53F12-53F12
CG18731	CG18731	3R	99B9-99B9
CG18734	Fur2	X	14C1-14C2
CG18735	CG18735	2R	58A1-58A1
CG18740	mor	3R	89A8-89A11
CG18741	Dop1R2	3R	99B5-99B6
CG18743	Hsp70Ab	3R	87A3-87A3
CG18744	CG18744	3R	84E1-84E1
CG18745	CG18745	3R	84E1-84E1
CG18746	CG18746	3R	84E1-84E1
CG18747	CG18747	3R	84E1-84E1
CG18748	CG18748	3R	84E1-84E1
CG18749	CG18749	3R	84F5-84F6
CG18754	CG18754	3R	95A7-95A7
CG18764	CG18764	3R	86E13-86E13
CG18765	CG18765	3R	86E16-86E16
CG18766	CG18766	3R	97E10-97E10
CG18767	mRpL36	3L	66B7-66B7
CG18769	MCU	3L	65B4-65B5
CG1877	Cul1	2R	43F1-43F2
CG18773	Lcp65Ab2	3L	65A6-65A6
CG18777	Cpr65Ax2	3L	65A6-65A6
CG18778	Cpr65Au	3L	65A6-65A6
CG18779	Lcp65Ag3	3L	65A6-65A6
CG1878	CecB	3R	99E2-99E2
CG18780	MED20	2L	28E1-28E1
CG18787	CG18787	2L	33B5-33B5
CG18788	CG18788	2L	33B9-33B9
CG18789	CG18789	2L	33B5-33B5
CG18801	Ku80	2L	35D4-35D4
CG18802	alpha-Man-IIa	3R	85D15-85D16
CG18803	Psn	3L	77C3-77C3
CG18806	OS9	2L	38A8-38A8
CG18808	CG18808	3L	64B17-64B17
CG18809	CG18809	X	18E5-18E5
CG18810	CG18810	2L	38D2-38D2
CG18811	Capr	3L	75D5-75D6
CG18812	Gdap2	2R	43E12-43E13
CG18814	CG18814	3L	72E3-72E3
CG18815	Apt1	3L	68D1-68D1
CG18816	Tsp42Eb	2R	42E4-42E4
CG18817	Tsp42Ea	2R	42E4-42E4
CG1882	puml	2R	43E18-43E18
CG18823	CG18823	X	1D4-1D4
CG1883	RpS7	3R	99E2-99E2
CG1885	Uros1	X	8B6-8B6
CG18853	CG18853	2R	43E18-43E18
CG18858	CG18858	2L	38C7-38C7
CG18859	Or19a	X	19B3-19B3
CG1886	ATP7	X	10F1-10F2
CG18869	Ugt305A1	3L	64A5-64A5
CG1887	dsb	3L	62B9-62B9
CG18870	CG18870	2R	57F4-57F4
CG1888	CG1888	2R	45F1-45F1
CG1889	CG1889	X	9A3-9A3
CG1890	CG1890	3R	100D2-100D2
CG1891	sax	2R	43E18-43E18
CG1893	scramb2	3L	63A3-63A3
CG1894	CG1894	3R	98D2-98D2
CG1895	Cyp28c1	X	10F1-10F1
CG1896	CG1896	3R	100D2-100D2
CG1897	Dr	3R	99B3-99B3
CG1898	HBS1	3L	62B7-62B7
CG1900	Rab40	X	11A11-11A11
CG1901	mav	4	102C2-102C2
CG1902	CG1902	2R	45F6-45F6
CG1906	alph	3R	99B4-99B5
CG1907	CG1907	3R	99B5-99B5
CG1908	Lint-1	X	10A8-10A8
CG1909	CG1909	4	102C2-102C2
CG1910	CG1910	3R	100D2-100D2
CG1911	Cap-D2	3R	99B7-99B7
CG1912	Gycalpha99B	3R	99B7-99B7
CG1913	alphaTub84B	3R	84B2-84B2
CG1915	sls	3L	62C2-62C4
CG1916	Wnt2	2R	45E1-45E1
CG1919	Cpr62Bc	3L	62B7-62B7
CG1921	sty	3L	63D2-63D3
CG1922	onecut	4	102C2-102C2
CG1924	CG1924	X	11A6-11A6
CG1925	PolZ1	2R	43E17-43E17
CG1927	CG1927	3L	62B12-62B12
CG1934	ImpE2	3L	63E2-63E2
CG1935	JTBR	3L	62B4-62B4
CG1937	sip3	3R	100D2-100D2
CG1938	Dlic	X	10A8-10A8
CG1939	Dpck	3R	84B2-84B2
CG1941	CG1941	2R	43E12-43E12
CG1942	Dgat2	2R	43E12-43E12
CG1943	CG1943	3R	84B2-84B2
CG1944	Cyp4p2	2R	45B7-45B7
CG1945	faf	3R	100D2-100D2
CG1946	CG1946	2R	43E12-43E12
CG1950	Uch-L5R	X	11A2-11A2
CG1951	CG1951	3R	98F5-98F5
CG1954	Pkc98E	3R	98F6-98F6
CG1956	Rap1	3L	62B7-62B7
CG1957	Cpsf100	3R	98F5-98F5
CG1958	CG1958	X	7A7-7A7
CG1960	mu2	3L	62B11-62B11
CG1962	Cen	2L	38D5-38D5
CG1963	Pcd	3R	99B9-99B9
CG1964	Kul	3R	99B9-99B9
CG1965	CG1965	3R	84B2-84B2
CG1966	Acf	3R	100D2-100D2
CG1967	p24-1	X	10F1-10F1
CG1968	Cog6	2R	45C1-45C4
CG1969	Gnpnat	3R	99B9-99B9
CG1970	ND-49	4	102C2-102C2
CG1971	CG1971	3R	100D2-100D2
CG1972	IntS11	3R	99B10-99B10
CG1973	yata	3R	99B10-99B10
CG1975	Drep2	2R	45C4-45C5
CG1976	RhoGAP100F	3R	100D2-100D3
CG1977	alpha-Spec	3L	62B4-62B4
CG1978	Or45a	2R	45D1-45D1
CG1979	CG1979	3R	84B2-84B2
CG1980	dj	3R	84B2-84B2
CG1981	Tdg	4	102C2-102C2
CG1982	Sodh-1	3R	84B2-84B2
CG1983	CG1983	3R	99E1-99E1
CG1984	djl	3R	84B2-84B2
CG1986	CG1986	X	9A3-9A3
CG1987	Rbp1-like	X	11F1-11F1
CG1988	Mst84B	3R	84B2-84B2
CG1989	Yippee	X	11F1-11F1
CG1994	l(1)G0020	X	8A2-8A3
CG1998	CG1998	X	11F4-11F4
CG1999	CG1999	X	7B2-7B2
CG2003	CG2003	3R	100E1-100E1
CG2004	CG2004	X	8A2-8A2
CG2006	CG2006	3R	99B1-99B1
CG2009	Taf3	4	102B8-102C1
CG2010	FipoQ	3R	99B1-99B1
CG2013	Ubc6	3R	82E3-82E4
CG2014	ND-20L	3R	99B2-99B2
CG2016	CG2016	3R	82E4-82E4
CG2017	CG2017	3R	83C5-83C6
CG2019	disp	3R	83C5-83C5
CG2021	CG2021	3L	62B4-62B4
CG2022	plh	3R	82E4-82E4
CG2023	Sec20	3R	83C4-83C4
CG2025	Nrd1	X	10F2-10F2
CG2028	CkIalpha	X	11B7-11B7
CG2031	Hpr1	3R	83C4-83C4
CG2033	RpS15Aa	X	11E11-11E12
CG2034	CG2034	3L	62D4-62D4
CG2038	CSN7	2R	44C6-44C6
CG2040	hig	2R	45B7-45B8
CG2041	lgs	4	102B7-102B8
CG2043	Lcp3	2R	44C6-44C6
CG2044	Lcp4	2R	44D1-44D1
CG2045	Ser7	X	9A2-9A2
CG2046	PSMG1	3R	83C4-83C4
CG2047	ftz	3R	84A6-84A6
CG2048	dco	3R	100B2-100B2
CG2049	Pkn	2R	45C1-45C1
CG2050	mod	3R	100E3-100E3
CG2051	Hat1	3R	83C4-83C4
CG2052	dati	4	102B5-102B5
CG2053	Pos	3R	100E3-100E3
CG2054	Cht2	3L	62B1-62B1
CG2056	spirit	X	7F5-7F5
CG2059	CG2059	X	7B1-7B1
CG2060	Cyp4e2	2R	44D1-44D1
CG2061	CG2061	X	10A4-10A4
CG2062	Cyp4e1	2R	44D1-44D1
CG2063	CG2063	2R	45C1-45C1
CG2064	CG2064	2R	43E9-43E9
CG2065	CG2065	2R	43E8-43E9
CG2069	Oseg4	3L	62B1-62B1
CG2070	CG2070	2R	43E8-43E8
CG2071	Ser6	X	19E5-19E5
CG2072	Mad1	2R	45C4-45C4
CG2075	aly	3L	63A3-63A3
CG2076	CG2076	X	10A4-10A4
CG2078	Myd88	2R	45C5-45C5
CG2079	Dok	X	7B1-7B1
CG2081	Vago	X	10A4-10A4
CG2082	CG2082	3R	83C3-83C3
CG2086	drpr	3L	62B1-62B1
CG2087	PEK	3R	83A4-83A4
CG2091	CG2091	3R	83C2-83C2
CG2092	scra	2R	43E3-43E3
CG2093	Vps13	2R	43D7-43E1
CG2095	Sec8	3R	83C2-83C2
CG2096	flw	X	9B14-9C1
CG2097	Sym	3R	83C1-83C2
CG2098	FeCH	3R	100D2-100D2
CG2099	RpL35A	3R	83A4-83A4
CG2100	CG2100	3R	83C1-83C1
CG2101	mRpS35	3L	62F4-62F4
CG2102	cas	3R	83C1-83C1
CG2103	Pgant6	3L	62F4-62F4
CG2104	CG2104	3R	83C1-83C1
CG2105	Corin	2R	43D5-43D6
CG2107	CPT2	3L	63A2-63A2
CG2108	Rab23	3R	83B9-83B9
CG2109	mRpL44	3R	83A4-83A4
CG2110	Cyp4ad1	2R	44D1-44D1
CG2111	CG2111	X	9E1-9E1
CG2113	CG2113	3L	63A2-63A2
CG2114	FMRFaR	3L	63A3-63A3
CG2116	CG2116	X	7D12-7D12
CG2118	Mccc1	3R	100D2-100D2
CG2120	CG2120	X	7D14-7D14
CG2121	CG2121	2R	44C4-44C6
CG2124	CG2124	X	9D3-9D4
CG2125	ci	4	102A1-102A3
CG2126	CG2126	3R	100D2-100D2
CG2127	CG2127	2R	44C4-44C4
CG2128	HDAC3	3R	83A4-83A4
CG2129	CG2129	X	7D15-7D16
CG2135	betaGlu	3R	100D2-100D2
CG2137	Gpo2	2R	43D3-43D3
CG2139	aralar1	3R	99F4-99F5
CG2140	Cyt-b5	2R	43C5-43C5
CG2144	PIG-G	2R	43D1-43D1
CG2145	CG2145	X	9F11-9F12
CG2146	didum	2R	43C7-43D1
CG2147	CG2147	X	7D22-7D22
CG2150	CG2150	3R	100D2-100D2
CG2151	Trxr-1	X	7D22-7E1
CG2152	Pcmt	3R	83B1-83B1
CG2155	v	X	9F11-9F11
CG2157	CG2157	X	9F5-9F6
CG2158	Nup50	2R	44B2-44B3
CG2160	Socs44A	2R	44B3-44B3
CG2161	Rga	3R	83B5-83B6
CG2162	CG2162	3L	63A3-63A3
CG2163	Pabp2	2R	44B3-44B3
CG2168	RpS3A	4	102A3-102A3
CG2171	Tpi	3R	99D8-99D8
CG2173	Rs1	2R	44B7-44B7
CG2175	dec	X	7C1-7C1
CG2177	Zip102B	4	102B3-102B3
CG2179	Xe7	3R	83B8-83B8
CG2182	CG2182	3R	83B8-83B8
CG2183	Gasz	2R	44B7-44B8
CG2184	Mlc2	3R	99E1-99E1
CG2185	elm	3R	83B8-83B8
CG2186	CG2186	X	9F5-9F5
CG2187	CG2187	3R	100D2-100D2
CG2189	Dfd	3R	84A5-84A5
CG2191	Smvt	3R	100D2-100D2
CG2194	su(r)	X	8D1-8D1
CG2196	salt	3R	100D2-100D2
CG2198	Ama	3R	84A5-84A5
CG2199	CG2199	3L	61F7-61F7
CG2200	CG2200	X	11D10-11D10
CG2201	CG2201	2L	39E3-39E3
CG2202	CG2202	X	9F5-9F5
CG2204	Galphao	2R	47A7-47A9
CG2206	orion	X	7C9-7C9
CG2207	Df31	2L	39E3-39E3
CG2209	CG2209	X	11D7-11D8
CG2210	awd	3R	100D2-100D2
CG2211	CG2211	3L	61F6-61F6
CG2212	sws	X	7D1-7D1
CG2213	msd5	3L	61F6-61F6
CG2216	Fer1HCH	3R	99F2-99F2
CG2217	CG2217	3R	99F3-99F4
CG2218	CG2218	3R	99F4-99F4
CG2219	Arl4	4	102B1-102B1
CG2221	l(1)G0289	X	9B11-9B12
CG2222	Psf3	X	9B14-9B14
CG2224	CG2224	3R	99F5-99F5
CG2225	CG2225	2L	39E6-39E7
CG2227	Gip	X	9B7-9B7
CG2229	Jon99Fii	3R	99F6-99F6
CG2233	CG2233	X	7D3-7D3
CG2238	eEF2	2L	39E7-39E7
CG2239	jdp	3R	99F7-99F7
CG2241	Rpt6R	3R	99F9-99F10
CG2244	MTA1-like	3R	83B7-83B7
CG2245	nero	3R	100D2-100D2
CG2246	CG2246	3R	99F10-100A1
CG2247	CG2247	X	10C10-10D1
CG2248	Rac1	3L	61F5-61F5
CG2249	COX7C	2R	46D8-46D9
CG2252	fs(1)h	X	7D3-7D5
CG2253	Upf2	X	7D5-7D5
CG2254	Ldsdh1	X	7D5-7D5
CG2256	CG2256	X	7D5-7D5
CG2257	UbcE2H	X	7D6-7D6
CG2258	CG2258	X	7D6-7D6
CG2259	Gclc	X	7D6-7D6
CG2260	CG2260	X	7D6-7D6
CG2261	CstF50	3R	100D1-100D1
CG2262	Smox	X	7D14-7D15
CG2263	alpha-PheRS	X	7D15-7D15
CG2264	magu	2R	46D9-46E1
CG2267	CG2267	3R	100A1-100A1
CG2269	CG2269	2R	46E4-46E4
CG2272	slpr	X	7D17-7D17
CG2275	Jra	2R	46E4-46E5
CG2277	Nt5a	3L	61F5-61F5
CG2278	CG2278	X	7D17-7D17
CG2286	ND-75	X	7E1-7E1
CG2291	CG2291	2R	44C3-44C3
CG2292	PIG-N	2R	46E1-46E1
CG2297	Obp44a	2R	44B3-44B3
CG2302	nAChRalpha3	X	7E1-7E2
CG2304	Trc8	3R	99B1-99B1
CG2310	CG2310	3R	99B1-99B1
CG2316	Abcd1	4	102B1-102B1
CG2321	CG2321	3R	99B1-99B1
CG2328	eve	2R	46C10-46C10
CG2330	Neurochondrin	3R	83E8-83E8
CG2331	TER94	2R	46D1-46D1
CG2336	CG2336	3R	83F3-83F3
CG2341	Ccp84Ad	3R	84A3-84A3
CG2342	Ccp84Ag	3R	84A2-84A2
CG2345	Edg84A	3R	84A1-84A1
CG2346	FMRFa	2R	46C4-46C4
CG2358	twr	3R	84A1-84A1
CG2360	Ccp84Aa	3R	84A4-84A5
CG2368	psq	2R	47A13-47B1
CG2371	Vlet	X	10D4-10D4
CG2374	lbm	2R	42E6-42E6
CG2380	NfI	4	102B3-102B3
CG2381	Syt7	4	102B3-102B3
CG2397	Cyp6a13	2R	44D3-44D3
CG2411	ptc	2R	44D5-44E1
CG2412	Rad51D	2R	45B1-45B1
CG2444	CG2444	X	10D5-10D5
CG2446	Amun	X	10D6-10D7
CG2448	FucT6	X	10D6-10D6
CG2453	Coq5	X	11E3-11E3
CG2467	pot	X	10F4-10F6
CG2469	Ctr9	3L	61F5-61F6
CG2471	Sclp	X	10F7-10F7
CG2478	brun	2L	38D2-38D2
CG2488	phr6-4	2L	38D2-38D2
